127.0.0.1 - - [06/Feb/2026:23:48:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:48:32 +0530] "GET /Students/index.jsp HTTP/1.1" 200 6627
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:48:32 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:50:45 +0530] "GET /Students/index.jsp HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:51:27 +0530] "GET /Students/index.jsp HTTP/1.1" 200 7023
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:51:51 +0530] "GET /Students/index.jsp HTTP/1.1" 200 7019
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:52:16 +0530] "GET /Students/index.jsp HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:52:28 +0530] "GET /Students/index.jsp HTTP/1.1" 200 7024
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:55:00 +0530] "GET /Students/index.jsp HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:55:03 +0530] "GET /Students/index.jsp HTTP/1.1" 200 3381
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:55:20 +0530] "GET /Students/index.jsp HTTP/1.1" 200 3382
0:0:0:0:0:0:0:1 - - [06/Feb/2026:23:55:20 +0530] "GET /Students/css/style.css HTTP/1.1" 200 3661
